,,,Step 1,,,,,Step 2,,,,Step 3,,,Step 4,,,Step 5,,Step 6,,,,Consultation during action plan development,,Consultation during implementation,,,,Government self-assessment report,,,,,,,,,,,,,Institutional Variables,,,,,,,,,,,,
Country name,Action Plan Number,Year AP Submitted,Step 1: Timeline and process: Prior availability,_Timelineavailability,Timeline: Online,Timeline: other channels,Timeline: links,Step 2: Advance notice,_Advance notice,Days in advance,Advance notice: Adequacy,Step 3: Awareness-raising activities,_Awareness-Raising,Awareness-raising activities: Links,Step 4: Online consultations,_Online consultation,Online consultations: Link,Step 5: In-person consultations,_In-person consultations,Step 6: Summary of comments,_Summary of comments,Summary of comments: Link,_Number of steps followed (out of 6),Invitation-only or open participation during dev. consultation,IAP2 level during development,Consultation during action plan implementation (regular forum),_Regular forum,Invitation-only or open participation during imp. consultation,IAP2 level during imp.,Was annual progress report published?,_Self assessment published,Was it done according to schedule?,Is the report available in the local language?,Is the report available in English?,Did the government provide a two-week public comment period on draft self-assessment reports?,Did the report include a review of its public comment period?,Were any public comments received?,Is the report deposited in the OGP portal?,Did the self-assessment report include review of the consultation efforts?,Did the report cover all of the commitments?,Did it assess completion according to schedule?,Did the self-assessment report include review of the consultation efforts on draft self-assessments?,Only one branch,Executive,Multi-agency (1) vs. Single (0),Single Lead,Pres Office/PM,Executive Lead Agency,Ministry of Foreign Affairs,MOFA Lead Agency,Officially Mandated,Legally mandated,Multiple Arrangements,"Implementing agency same as developing agency? 1=Y, 0=N",Change of executive
Guatemala,2,2014,No,0,No,No,NA,No,0,NA,No,No,0,NA,No,0,NA,Yes,1,No,0,NA,1,Invitation-only,Consult,Yes,1,Invitation-only,Involve,Yes,1,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,0,1,1,1,1,1,0,NA,0,0,0,1,1
Honduras,1,2012,No,0,No,No,NA,Yes,1,3,No,No,0,NA,No,0,NA,Yes,1,No,0,NA,2,NR,NR,No,0,NA,NA,Yes,1,No,Yes,No,No,NA,NA,No,No,Yes,No,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Honduras,2,2014,Yes,1,Yes,Yes,http://bit.ly/1Q3TC1g http://bit.ly/1nTuF1P http://on.fb.me/1T0ODUi http://bit.ly/1Q3TC1g,Yes,1,24,Yes,Yes,1,https://www.facebook.com/photo.php?fbid=729509237093494&set=gm.709718652403083&type=1&theater https://www.facebook.com/media/set/?set=a.513673265421682.1073741941.132581940197485&type=1,Yes,1,http://www.gobiernoabiertohonduras.org/comentarios.html,Yes,1,Yes,1,NA,6,Open,Consult,Yes,1,Open,Inform,Yes,1,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,NR,0,1,1,1,1,1,0,NA,1,0,1,1,1
Hungary,1,2013,Yes,1,No,No,NA,Yes,1,15,Yes,No,0,NA,Yes,1,http://corruptionprevention.gov.hu /contact-us,Yes,1,Yes,1,http://korrupciomegelozes.korman y.hu/egyeztetesek-civil-partnerseg,5,Invitation-only,Involve,Yes,1,Invitation-only,Involve,Yes,1,No,Yes,Yes,Yes,No,Unclear,No,Yes,Yes,No,Yes,1,1,1,1,0,0,0,0,1,0,0,1,1
Hungary,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Indonesia,1,2012,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Indonesia,2,2013,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1,1,1,1,0,1,1,NR,1,0,0,1,0
Indonesia,3,2014,No,0,No,No,NA,No,0,NA,No,Yes,1,http://bit.ly/1MJQOVQ,Yes,1,http://bit.ly/1i1SWj0,Yes,1,Yes,1,http://bit.ly/1MJQS7R,4,Invitation-only,Consult,No,0,NA,NA,Yes,1,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,NR,0,1,1,1,1,1,1,0,1,1,1,1,1
Ireland,1,2014,Yes,1,Yes,No,http://www.ogpireland.ie/ national-action-plan/,Yes,1,NA,Yes,Yes,1,http://www.ogpireland.ie/ category/events/,Yes,1,https://docs.google. com/document/ d/1lGoNHTllw1huCYPr63Cl2- EOxw-wZRlsJ2t_W_pNN6Q/ edit?pli=1,Yes,1,Yes,1,http://www.ogpireland.ie/,6,Open,Involve,No,0,Open,Inform,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0,1,1,1,1,0,0,NA,1,0,0,1,0
Israel,1,2012,Yes,1,Yes,No,NA,No,0,NA,No,No,0,NA,Yes,1,http://bit.ly/ID26Sa,Yes,1,Yes,1,NA,4,NR,NR,Yes,1,NR,NR,Yes,1,No,Yes,Yes,No,NA,NA,Yes,No,Yes,Yes,NR,1,1,1,0,1,NA,0,NR,0,1,1,0,1
Israel,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1,1,1,1,1,1,0,NA,1,0,1,1,0
Italy,1,2012,No,0,No,No,NA,No,0,NA,No,No,0,NA,Yes,1,http://bit.ly/Ia89gS,No,0,Yes,1,http://bit.ly/Ia89gS,2,NR,NR,No,0,NA,NA,Yes,1,No,Yes,Yes,Yes,NR,No,Yes,No,No,No,NR,1,1,0,1,0,0,0,NR,1,0,0,0,0
Italy,2,2014,No,0,Yes,Yes,NA,Yes,1,21,Yes,Yes,1,NA,Yes,1,http://www.partecipa.gov.it/,Yes,1,Yes,1,NA,5,Invitation-only,Consult,No,0,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,NA,0,NA,0,0,0,1,1
Jordan,1,2012,No,0,No,No,NA,No,0,NA,No,No,0,NA,No,0,NA,Yes,1,No,0,NA,1,NR,NR,No,0,NA,NA,Yes,1,Yes,No,Yes,No,NA,NA,Yes,No,No,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Jordan,2,2014,No,0,No,No,NA,No,0,NA,No,No,0,NA,No,0,NA,No,0,No,0,NA,0,NA,NA,No,0,NA,NA,Yes,1,Yes,Yes,Yes,No,NA,NA,Yes,Yes,Yes,No,NR,0,1,1,1,0,NA,0,NA,0,0,1,1,0
Kenya,1,2012,No,0,No,No,NA,No,0,NA,No,Yes,1,NA,No,0,NA,Yes,1,No,0,NA,2,NR,NR,Yes,1,NR,NR,Yes,1,No,No,Yes,No,NA,NA,Yes,No,Yes,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Kenya,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Latvia,1,2012,NR,NR,NR,NR,NR,No,0,NA,No,Yes,1,http://www.latvija.ie/lv/vilnius/<br/><br/>jaunumi/MinistrijasPaziojumi/<br/><br/>MinistrijasPazinojumi-Template/?<br/><br/>pg=21490,No,0,NA,Yes,1,No,0,NA,2,NR,NR,No,0,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,1,NR,1,0,0,0,0
Latvia,2,2014,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1,1,1,1,0,NA,1,1,1,0,1,0,0
Liberia,1,2013,No,0,No,No,NA,No,0,NA,No,Yes,1,See narrative,No,0,NA,Yes,1,No,0,NA,2,Invitation-only,Consult,Yes,1,Invitation-only,Consult,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,1,0,0,0,0,1,1
Liberia,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Lithuania,1,2014,No,0,No,Yes,http://www.lrv.lt/lt/naujie,No,0,NA,No,No,0,NA,Yes,1,http://www.lrv.lt/lt/veikl a/viesosioskonsultacijos/atviravyriausybe/,Yes,1,No,0,NA,2,Open,Consult,No,0,Open,Inform,Yes,1,Yes,No,Yes,No,NA,NA,Yes,Yes,Yes,Yes,NR,1,1,1,1,1,1,0,NA,1,0,1,0,0
Macedonia,1,2012,No,0,No,No,NA,Yes,1,3,No,Yes,1,Only via or on email,Yes,1,https://e-demokratija.mk,Yes,1,No,0,NA,4,NR,NR,No,0,NA,NA,Yes,1,Yes,Yes,Yes,Yes,NR,Yes,Yes,Yes,No,No,NR,1,1,1,1,0,0,1,NR,1,0,1,0,0
Macedonia,2,2014,Yes,1,Yes,Yes,http://bit.ly/1MASEsH,Yes,1,30,Yes,No,0,NA,Yes,1,http://bit.ly/1rRsrRm,Yes,1,Yes,1,http://bit.ly/1CCUcQf,5,Open,Collaborate,Yes,1,Open,Inform,Yes,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,NR,1,1,1,1,0,NA,1,0,1,0,1,1,0
Malta,1,2013,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Malta,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Mexico,1,2012,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Mexico,2,2013,Yes,1,No,Yes,NA,Yes,1,21,Yes,Yes,1,NA,No,0,NA,Yes,1,Yes,1,NA,5,Invitation-only,Collaborate,NR,NR,Invitation-only,Collaborate,Yes,1,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1,1,1,1,0,0,1,NR,1,0,1,1,0
Moldova,1,2012,No,0,Yes,No,http://bit.ly/HUCJuD,Yes,1,14,Yes,Yes,1,http://bit.ly/17yl3jZ,Yes,1,http://bit.ly/1j9qXYW,Yes,1,No,0,NA,4,NR,NR,Yes,1,NR,NR,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,0,1,NR,1,0,0,0,0
Moldova,2,2014,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Moldova,3,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Mongolia,1,2014,Yes,1,Yes,Yes,http://www.montsame.gov.mn/en/ index.php/politics/item/1725- mongolia-aims-to-join-ogp,Yes,1,7,Yes,Yes,1,http://www.zasag.mn/tunshle,No,0,NA,Yes,1,No,0,NA,4,Open,Collaborate,No,0,NA,NA,Yes,1,No,Yes,Yes,No,NA,NA,Yes,No,Yes,Yes,NR,0,1,1,1,1,1,0,NA,0,0,1,1,1
Montenegro,1,2012,No,0,No,No,NA,No,0,NA,No,No,0,NA,No,0,NA,Yes,1,No,0,NA,1,NR,NR,Yes,1,NR,NR,Yes,1,No,Yes,Yes,No,NA,NA,Yes,No,Yes,No,NR,1,1,1,1,0,1,0,NR,1,0,0,0,0
Montenegro,2,2014,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Netherlands,1,2013,No,0,No,Yes,"https://www.facebook.com/Open OverheidNL/events<br/>https://twitter.com/OpenOverhei dNLhttp://bit.ly/1rLYTV8<br/>The official OpenGov homepage, a very general link containing documents only: https://data.overheid.nl/openover heid",No,0,NA,No,Yes,1,https://data.overheid.nl/node/177,No,0,NA,Yes,1,No,0,NA,2,Open,Consult,Yes,1,Open,Involve,Yes,1,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Netherlands,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
New Zealand,1,2014,No,0,No,No,NA,No,0,NA,No,Yes,1,NA,Yes,1,http://www.ssc.govt.nz/open-government-partnership https://web.archive.org/web/2014/1007092139/ http://www.ssc.govt.<br/>nz/open-government-partnership,Yes,1,Yes,1,http://www.ssc.govt.nz/sites/all/fil es/nz-ogp-action-plan-jul2014.pdf,4,Invitation-only,Consult,No,0,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,NA,1,0,1,0,1,1,1
Norway,1,2012,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Norway,2,2013,Yes,1,Yes,Yes,NA,Yes,1,91,Yes,Yes,1,NA,Yes,1,NA,Yes,1,Yes,1,NA,6,Invitation-only,Consult,NR,NR,NR,NR,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,NR,1,0,1,0,0
Panama,1,2013,No,0,No,No,NA,No,0,NA,No,No,0,NA,Yes,1,NA,No,0,No,0,NA,1,Invitation-only,Inform,No,0,Open,Inform,Yes,1,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,1,1,0,1,0,0,1,0,1,1,1,1,1
Panama,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Paraguay,1,2012,No,0,No,No,NA,No,0,NA,No,No,0,NA,No,0,NA,No,0,No,0,NA,0,NR,NR,No,0,NA,NA,Yes,1,Yes,Yes,No,No,NA,NA,Yes,No,No,No,NR,1,1,1,1,0,1,1,0,1,0,0,0,1
Paraguay,2,2014,No,0,Yes,No,NR,No,0,NA,No,No,0,NA,No,0,NA,Yes,1,No,0,NA,1,Open,Consult,Yes,1,Open,Involve,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,0,NA,0,NA,0,0,0,1,0
Peru,1,2012,No,0,No,No,NA,No,0,NA,No,No,0,NA,Yes,1,http://bit.ly/AaLWuD,Yes,1,Yes,1,http://bit.ly/17pAGbf,3,NR,NR,Yes,1,NR,NR,Yes,1,Yes,Yes,No,Yes,NR,No,No,Yes,No,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Peru,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1,1,1,1,1,1,0,NA,1,1,0,1,1
Philippines,1,2012,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Philippines,2,2013,No,0,No,No,NR,Yes,1,NA,No,No,0,NA,Yes,1,NA,Yes,1,Yes,1,NA,4,Open,Consult,NR,NR,Invitation-only,Consult,Yes,1,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,NR,1,1,1,0,1,NA,0,NR,1,0,0,1,0
Romania,1,2012,No,0,No,No,NA,Yes,1,7,Yes,No,0,NA,Yes,1,Via email only,Yes,1,Yes,1,NA,4,NR,NR,No,0,NA,NA,Yes,1,Yes,Yes,Yes,Yes,NR,Yes,Yes,No,Yes ,No,NR,0,1,1,1,1,0,0,NR,1,0,1,0,1
Romania,2,2014,Yes,1,Yes,Yes,First draft: (http://ogp.gov.ro/noutati/sesiunede-consultare-publica-asupraprimului-draft-al-noului-plannational-de-actiune/)<br/>Final draft: (http://ogp.gov.ro/noutati/sesiunede-consultare-publica-asupradraftului-final-al-noului-plannational-de-actiune-iulie-2014-<br/>iunie-2016/),Yes,1,30,Yes,Yes,1,(http://ogp.gov.ro/clubogp/arhiva/),Yes,1,http://ogp.gov.ro/noutati/sesiunede-consultare-publica-asupraprimului-draft-al-noului-plannational-de-actiune/ http://ogp.gov.ro/noutati/sesiunede-consultare-publica-asupradraftului-final-al-noului-plannational-de-actiune-iulie-2014-<br/>iunie-2016/,Yes,1,Yes,1,(http://ogp.gov.ro/wpcontent/uploads/2014/02/Primaintalnire-a-Clubului-OGP-13-feb-<br/>20141.pdf (http://ogp.gov.ro/wpcontent/uploads/2014/03/,6,Open,Collaborate,Yes,1,Open,Collaborate,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1,1,1,1,1,1,1,0,1,0,0,1,0
Serbia,1,2014,No,0,No,No,NA,Yes,1,9,Yes,Yes,1,NA,No,0,NA,Yes,1,No,0,NA,3,Open,Consult,No,0,NA,NA,Yes,1,No,Yes,Yes,No,NA,NA,Yes,Yes,Yes,Yes,NR,1,1,1,1,0,NA,0,NA,1,1,1,1,1
Sierra Leone,1,2014,No,0,No,No,NA,No,0,NA,No,Yes,1,facebook.com/groups/<br/>OGPSalone,Yes,1,facebook.com/groups/<br/>OGPSalone,Yes,1,No,0,NA,3,Open,Consult,Yes,1,Invitation-only,Involve,Yes,1,Yes,Yes,Yes,No,NA,NA,Yes,Yes,Yes,No,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Slovakia,1,2012,Yes,1,Yes,No,http://bit.ly/17wPSWG; http://bit.ly/17wPVSj,Yes,1,7,No,No,0,NA,Yes,1,http://bit.ly/I5UEP8,Yes,1,No,0,NA,4,NR,NR,No,0,NA,NA,Yes,1,Yes,Yes,Yes,Yes,NR,Yes,Yes,Yes,Yes,Yes,NR,1,1,0,1,0,0,0,NR,0,1,1,0,1
Slovakia,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1,1,1,1,1,0,0,NA,1,1,0,1,1
South Africa,1,2012,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
South Africa,2,2013,No,0,No,No,NR,Yes,1,3,No,No,0,NA,No,0,NA,Yes,1,No,0,NA,2,Open,Inform,NR,NR,NA,NA,Yes,1,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,NR,1,1,0,1,0,0,0,NR,1,0,0,1,0
South Korea,1,2012,No,0,No,No,NA,No,0,NA,No,No,0,NA,No,0,NA,No,0,No,0,NA,0,NR,NR,No,0,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,0,NR,0,0,0,1,1
South Korea,2,2014,No,0,No,No,NA,No,0,NA,No,No,0,NA,No,0,NA,No,0,No,0,NA,0,NA,NA,No,0,NA,NA,Yes,1,No,No,Yes,No,NA,NA,Yes,Yes,Yes,No,NR,1,1,1,1,1,0,0,NA,1,1,1,1,0
Spain,1,2012,No,0,No,No,NA,No,0,NA,No,No,0,NA,No,0,NA,No,0,No,0,NA,0,NR,NR,No,0,NA,NA,Yes,1,No,Yes,Yes,Yes,NR,Yes,Yes,No,Yes,Yes,NR,1,1,1,0,1,NA,0,NR,1,0,0,1,0
Spain,2,2014,No,0,No,No,NA,No,0,NA,No,No,0,NA,Yes,1,gobiernoabierto@mpr.es,Yes,1,No,0,NA,2,Invitation-only,Consult,No,0,NA,NA,Yes,1,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,NR,1,1,1,1,1,1,0,NA,0,0,0,0,1
Sweden,1,2012,No,0,No,No,NA,Yes,1,14,Yes,No,0,NA,No,0,NA,Yes,1,No,0,NA,2,NR,NR,No,0,NA,NA,Yes,1,No,No,Yes,No,NA,NA,Yes,Yes,Yes,Yes,NR,1,1,1,0,0,1,1,NR,1,0,0,1,0
Sweden,2,2014,Yes,1,No,Yes,NA,Yes,1,4,No,Yes,1,NA,No,0,NA,Yes,1,No,0,NA,4,Invitation-only,Consult,No,0,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,NA,1,1,0,0,0,1,1
Tanzania,1,2012,Yes,1,Yes,Yes,http://www.opengov.go.tz/officebox/web/togp/index.php,Yes,1,45,Yes,Yes,1,NA,Yes,1,NA,Yes,1,No,0,NA,5,NR,NR,Yes,1,NR,NR,Yes,1,No,No,Yes,No,NA,NA,No,No,No,No,NR,1,1,1,1,1,1,0,NR,1,0,0,0,0
Tanzania,2,2014,No,0,No,No,NA,Yes,1,6,No,No,0,NA,No,0,NA,Yes,1,No,0,NA,2,Invitation-only,Consult,Yes,1,Invitation-only,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,0,NA,1,0,0,0,1
Trinidad and Tobago,1,2014,Yes,1,No,Yes,NA,Yes,1,14,Yes,No,0,NA,No,0,NA,Yes,1,No,0,NA,3,Invitation-only,Consult,No,0,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,NA,0,NA,0,0,1,1,1
Tunisia,1,2014,Yes,1,Yes,Yes,http://bit.ly/1fGkL0i,Yes,1,4,No,Yes,1,"1. Meeting in Ben Arous July 9, 2015: http://on.fb.me/1Sehmpy2. Meeting in Tataouine, 9 May 2015: http://on.fb.me/1Oebxod 3. Meeting in Medenine, 8 May 2015: http://on.fb.me/1PSQOqp 4. Meeting in Zaghouan, 23 April 2015: http://on.fb.me/1PSQVCt 5. Meeting in Kairouan, 24 April 2015: http://on.fb.me/1mRr3O0 6. Meeting in Siliana, 10 April 2015: http://on.fb.me/1W0MRCr 7. Meeting in Ras Jebel, 6 April 2015: http://ti2d.org/?p=225 8. Meeting in Beja, 19 March 2015: http://www.tanmiafm.org/?p=256 9. Meeting in Kasserine, 6 March 2015: http://on.fb.me/1TQk7uZ",No,0,NA,Yes,1,No,0,NA,4,Open,Involve,Yes,1,Invitation-only,Consult,Yes,1,Yes,No,Yes,No,NA,NA,Yes,Yes,Yes,Yes,NR,1,1,1,1,0,NA,1,0,1,0,1,1,1
Turkey,1,2012,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Ukraine,1,2012,No,0,No,No,NA,No,0,NA,No,No,0,NA,NR,NA,NA,Yes,1,Yes,1,http://civic.kmu.gov.ua/consult_mvc_kmu/uploads/attach-963-714069378.pdf,2,NR,NR,Yes,1,NR,NR,Yes,1,Yes,Yes,Yes,Yes,NR,Yes,Yes,No,Yes,No,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Ukraine,2,2014,No,0,No,Yes,NA,No,0,NA,No,Yes,1,"http://bit.ly/RTftS7, http://bit.ly/1juMhiG, http://bit.ly/1RdUhzU",Yes,1,http://bit.ly/17NIPcC,Yes,1,Yes,1,http://bit.ly/17NIPcC,4,Open,Involve,Yes,1,Invitation-only,Collaborate,Yes,1,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,NR,1,1,1,1,0,NA,1,0,1,1,1,0,1
United Kingdom,1,2012,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
United Kingdom,2,2013,Yes,1,Yes,Yes,NA,Yes,1,83,Yes,Yes,1,NA,Yes,1,NA,Yes,1,No,0,NA,5,Open,Collaborate,NR,NR,Open,Collaborate,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1,1,0,1,1,NA,0,NR,1,0,0,1,0
United States,1,2012,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
